201302900116т 00332500000000
201302900117т 00000000000000
201302421217т 00290400029040
201302421318т 00290400029040
201302421319т 00290400029040
201302771223т 00290400029040
201302771324т 00290400029040
201302401202т 00290400029040
201302902013т 00290400029040
201302900945т 00326300000000
201302513001т 00290400029040
201302900147т 00290400029040
201302191179т 00270000027000
201302181202т 00290000000000
201302181231т 00280000029040
201302181232т 00000000029040
201302900911т 00000000000000
201302901002т 00000000000000
201302901203т 00290400029040
201302901301т 00290400029040
201302212001т 00290400029040
201302212002т 00290400029040
201302212004т 00260000000000
201302212003т 00290000029040
201302211202т 00290400000000
201302211247т 00290400000000
201302211248т 00290400000000
201302211245т 00290400000000
201302211246т 00290400000000
201302211345т 00290400000000
201302490113т 00290400029040
201302490104т 00290400029040
201302490105т 00290400029040
201302490204т 00290400029040
201302513908т 00290400029040
201302512005т 00290400029040
201302591300т 00000000000000
201302581304т 00000000000000
201302581205т 00290400029040
201302581206т 00100000000000
201302581207т 00290400000000
201302215016т 00000000000000
201302215019т 00000000000000
201302510203т 00290400029040
201302510204т 00290400029040
201302513201т 00290400029040
201302512100т 00290400029040
201302513200т 00290400029040
201302311307т 00290400029040
201302311306т 00290400029040
201302311302т 00290400029040
201302301320т 00290400029040
201302293022т 00290400029040
201302292004рт00290400029040
201302292006рт00290400029040
201302292003рт00290400029040
201302293021рт00290400029040
201302293001рт00290400029040
201302293006рт00290400029040
201302293005рт00290400029040
201302293003рт00290400029040
201302293004рт00290400029040
201302292010рт00290400029040
201302293008рт00290400029040
201302293002рт00290400029040
201302293007рт00290400029040
201302293010рт00290400029040
201302293009рт00290400029040
201302293011рт00290400029040
201302270181рт00290400029040
201302270296рт00290400029040
201302270297рт00290400029040
201302270299рт00290400029040
201302270310рт00290400029040
201302270312рт00290400029040
201302270319рт00290400029040
201302270321рт00290400029040
201302270322рт00290400029040
201302270323рт00290400029040
201302270324рт00290400029040
201302270327рт00290400029040
201302270328рт00290400029040
201302270329рт00290400029040
201302270330рт00290400029040
201302270333рт00290400029040
201302270335рт00290400029040
201302270362рт00290400029040
201302270391рт00290400029040
201302270394рт00290400029040
201302270400рт00290400029040
201302270402рт00290400029040
201302270404рт00290400029040
201302270405рт00290400029040
201302270406рт00290400029040
201302270419рт00290400029040
201302270422рт00290400029040
201302270429рт00290400029040
201302270436рт00290400029040
201302270439рт00290400029040
201302270440рт00290400029040
201302000000  00000000000000
201302000850  00000000000000
201302001010  00000000000000
201302001062  00000000000000
201302001091  00000000000000
201302002041  00000000000000
201302002048  00000000000000
