201311   900116т   332.50    0.00
201311   900117т     0.00    0.00
201311   421217т   290.40  290.40
201311   421318т   290.40  290.40
201311   421319т   290.40  290.40
201311   771223т   290.40  290.40
201311   771324т   290.40  290.40
201311   401202т   290.40  290.40
201311   902013т   290.40  290.40
201311   900945т   326.30    0.00
201311   513001т   290.40  290.40
201311   900147т   290.40  290.40
201311   191179т   270.00  270.00
201311   181202т   290.00    0.00
201311   181231т   280.00  290.40
201311   181232т     0.00  290.40
201311   900911т     0.00    0.00
201311   901002т     0.00    0.00
201311   901203т   290.40  290.40
201311   901301т   290.40  290.40
201311   212001т   290.40  290.40
201311   212002т   290.40  290.40
201311   212004т   260.00    0.00
201311   212003т   290.00  290.40
201311   211202т   290.40    0.00
201311   211247т   290.40    0.00
201311   211248т   290.40    0.00
201311   211245т   290.40    0.00
201311   211246т   290.40    0.00
201311   211345т   290.40    0.00
201311   490113т   290.40  290.40
201311   490104т   290.40  290.40
201311   490105т   290.40  290.40
201311   490204т   290.40  290.40
201311   513908т   290.40  290.40
201311   512005т   290.40  290.40
201311   591300т     0.00    0.00
201311   581304т     0.00    0.00
201311   581205т   290.40  290.40
201311   581206т   100.00    0.00
201311   581207т   290.40    0.00
201311   215016т     0.00    0.00
201311   215019т     0.00    0.00
201311   510203т   290.40  290.40
201311   510204т   290.40  290.40
201311   513201т   290.40  290.40
201311   512100т   290.40  290.40
201311   513200т   290.40  290.40
201311   311307т   290.40  290.40
201311   311306т   290.40  290.40
201311   311302т   290.40  290.40
201311   301320т   290.40  290.40
201311   293022т   290.40  290.40
201311   292004рт  290.40  290.40
201311   292006рт  290.40  290.40
201311   292003рт  290.40  290.40
201311   293021рт  290.40  290.40
201311   293001рт  290.40  290.40
201311   293006рт  290.40  290.40
201311   293005рт  290.40  290.40
201311   293003рт  290.40  290.40
201311   293004рт  290.40  290.40
201311   292010рт  290.40  290.40
201311   293008рт  290.40  290.40
201311   293002рт  290.40  290.40
201311   293007рт  290.40  290.40
201311   293010рт  290.40  290.40
201311   293009рт  290.40  290.40
201311   293011рт  290.40  290.40
201311   270181рт  290.40  290.40
201311   270296рт  290.40  290.40
201311   270297рт  290.40  290.40
201311   270299рт  290.40  290.40
201311   270310рт  290.40  290.40
201311   270312рт  290.40  290.40
201311   270319рт  290.40  290.40
201311   270321рт  290.40  290.40
201311   270322рт  290.40  290.40
201311   270323рт  290.40  290.40
201311   270324рт  290.40  290.40
201311   270327рт  290.40  290.40
201311   270328рт  290.40  290.40
201311   270329рт  290.40  290.40
201311   270330рт  290.40  290.40
201311   270333рт  290.40  290.40
201311   270335рт  290.40  290.40
201311   270362рт  290.40  290.40
201311   270391рт  290.40  290.40
201311   270394рт  290.40  290.40
201311   270400рт  290.40  290.40
201311   270402рт  290.40  290.40
201311   270404рт  290.40  290.40
201311   270405рт  290.40  290.40
201311   270406рт  290.40  290.40
201311   270419рт  290.40  290.40
201311   270422рт  290.40  290.40
201311   270429рт  290.40  290.40
201311   270436рт  290.40  290.40
201311   270439рт  290.40  290.40
201311   270440рт  290.40  290.40
